OA11CD,Supergroup_Code
E00000001,2
E00000003,2
E00000005,2
E00000007,2
E00000010,2
E00000012,3
E00000013,2
E00000014,2
E00000016,2
E00000017,2
E00000018,2
E00000019,2
E00000020,2
E00000021,2
E00000022,3
E00000023,3
E00000024,2
E00000025,2
E00000026,2
E00000027,2
E00000028,2
E00000029,3
E00000030,3
E00000031,3
E00000032,3
E00000035,2
E00000037,4
E00000038,4
E00000039,3
E00000040,3
E00000041,4
E00000042,3
E00000043,3
E00000045,3
E00000046,3
E00000048,3
E00000049,4
E00000050,3
E00000051,4
E00000052,3
E00000053,4
E00000054,4
E00000055,4
E00000056,3
E00000057,3
E00000059,3
E00000060,4
E00000061,3
E00000062,3
E00000063,4
E00000064,4
E00000065,4
E00000066,4
E00000067,4
E00000068,4
E00000069,3
E00000070,8
E00000071,4
E00000072,4
E00000073,4
E00000074,4
E00000075,4
E00000076,4
E00000077,4
E00000078,4
E00000079,4
E00000080,3
E00000081,4
E00000082,4
E00000083,4
E00000084,4
E00000085,4
E00000086,4
E00000087,4
E00000088,4
E00000089,4
E00000090,4
E00000091,4
E00000092,4
E00000093,4
E00000094,4
E00000095,4
E00000096,4
E00000097,4
E00000098,4
E00000099,3
E00000100,4
E00000101,4
E00000102,4
E00000103,4
E00000104,4
E00000106,4
E00000107,4
E00000108,4
E00000109,4
E00000110,4
E00000111,4
E00000112,4
E00000113,4
E00000114,4
E00000115,4
E00000116,4
E00000117,3
E00000118,4
E00000119,4
E00000120,4
E00000121,4
E00000122,4
E00000123,4
E00000124,4
E00000125,4
E00000126,3
E00000127,4
E00000128,4
E00000129,4
E00000130,4
E00000131,4
E00000132,4
E00000133,4
E00000134,4
E00000135,4
E00000136,4
E00000137,4
E00000138,4
E00000139,4
E00000140,4
E00000141,3
E00000142,3
E00000143,4
E00000144,4
E00000145,4
E00000146,4
E00000147,4
E00000148,7
E00000149,4
E00000150,4
E00000151,4
E00000152,4
E00000153,4
E00000154,4
E00000155,4
E00000156,4
E00000157,4
E00000158,4
E00000159,4
E00000160,8
E00000161,4
E00000162,4
E00000163,3
E00000164,3
E00000165,4
E00000166,3
E00000167,4
E00000168,4
E00000169,7
E00000170,4
E00000171,7
E00000172,4
E00000173,4
E00000174,4
E00000175,3
E00000176,4
E00000177,3
E00000178,4
E00000179,4
E00000180,4
E00000181,5
E00000182,4
E00000183,4
E00000184,8
E00000185,5
E00000186,5
E00000187,4
E00000188,8
E00000189,4
E00000190,7
E00000191,5
E00000192,4
E00000193,4
E00000194,5
E00000195,5
E00000196,7
E00000197,4
E00000198,3
E00000199,4
E00000200,4
E00000201,4
E00000202,4
E00000203,4
E00000204,4
E00000205,3
E00000206,3
E00000207,4
E00000208,4
E00000209,4
E00000210,4
E00000211,4
E00000212,3
E00000213,4
E00000214,4
E00000215,4
E00000216,4
E00000217,4
E00000218,4
E00000219,4
E00000220,4
E00000221,4
E00000222,4
E00000223,3
E00000224,4
E00000225,4
E00000226,4
E00000227,4
E00000228,4
E00000229,4
E00000230,4
E00000231,4
E00000232,4
E00000234,4
E00000235,3
E00000236,4
E00000237,4
E00000238,3
E00000239,3
E00000240,3
E00000241,3
E00000242,3
E00000243,3
E00000244,3
E00000245,3
E00000246,4
E00000247,4
E00000248,3
E00000249,3
E00000250,3
E00000251,3
E00000252,4
E00000253,3
E00000254,3
E00000255,4
E00000256,3
E00000257,4
E00000258,3
E00000259,4
E00000260,4
E00000261,4
E00000263,3
E00000264,3
E00000265,4
E00000266,4
E00000267,4
E00000268,4
E00000269,4
E00000270,4
E00000271,4
E00000272,4
E00000273,4
E00000274,4
E00000275,4
E00000276,4
E00000277,4
E00000278,4
E00000279,3
E00000280,4
E00000282,4
E00000283,4
E00000284,4
E00000285,4
E00000286,4
E00000287,4
E00000288,4
E00000289,4
E00000290,4
E00000291,4
E00000292,4
E00000293,4
E00000294,4
