LSOA11CD,NOCAR_pr
E01000001,0.544027304
E01000002,0.529247911
E01000003,0.7608
E01000005,0.65786802
E01000006,0.270747499
E01000007,0.545650611
E01000008,0.516839378
E01000009,0.432600113
E01000010,0.681690141
E01000011,0.33968059
E01000012,0.465435356
E01000013,0.370481928
E01000014,0.289765721
E01000015,0.366800535
E01000016,0.288943189
E01000017,0.308030113
E01000018,0.283656857
E01000019,0.29424307
E01000020,0.261139312
E01000021,0.341355288
E01000022,0.289193303
E01000023,0.326438849
E01000024,0.258867925
E01000025,0.311995028
E01000027,0.285545024
E01000028,0.342988808
E01000029,0.197877653
E01000030,0.385900783
E01000031,0.165120594
E01000032,0.237569061
E01000033,0.280675974
E01000034,0.231454006
E01000035,0.228775113
E01000036,0.202512934
E01000037,0.087912088
E01000038,0.163787146
E01000039,0.17492163
E01000040,0.39515615
E01000041,0.263971463
E01000042,0.451847704
E01000043,0.281710914
E01000044,0.335750139
E01000045,0.339003645
E01000046,0.311973019
E01000048,0.512058329
E01000049,0.498901099
E01000050,0.352197471
E01000051,0.546445252
E01000052,0.368421053
E01000053,0.391509434
E01000054,0.261350407
E01000055,0.257566001
E01000056,0.262645914
E01000057,0.292780749
E01000058,0.297998918
E01000059,0.271428571
E01000060,0.328911001
E01000061,0.567190227
E01000062,0.27920082
E01000063,0.294444444
E01000064,0.293282359
E01000065,0.334101382
E01000066,0.195539419
E01000067,0.201117318
E01000068,0.186031746
E01000069,0.100797267
E01000070,0.170632911
E01000071,0.191470458
E01000072,0.35409342
E01000073,0.273625695
E01000074,0.308232291
E01000075,0.251154734
E01000076,0.285570131
E01000077,0.320807237
E01000078,0.294117647
E01000079,0.335705045
E01000080,0.302699229
E01000081,0.240521327
E01000082,0.28784267
E01000083,0.307647059
E01000084,0.371217712
E01000085,0.39509059
E01000086,0.29769392
E01000087,0.317673378
E01000088,0.290771909
E01000089,0.298319328
E01000090,0.300505051
E01000091,0.389148191
E01000092,0.321241586
E01000093,0.454427925
E01000094,0.309954751
E01000095,0.246183206
E01000096,0.453298153
E01000097,0.317290553
E01000098,0.287514318
E01000099,0.277713626
E01000100,0.284331518
E01000101,0.298083278
E01000102,0.269480519
E01000103,0.299703264
E01000104,0.39079169
E01000105,0.462884161
E01000106,0.463414634
E01000107,0.192401961
E01000108,0.285622593
E01000109,0.234282325
E01000110,0.133903134
E01000111,0.291325696
E01000112,0.282202031
E01000113,0.286480048
E01000114,0.228229665
E01000115,0.057534247
E01000116,0.09371362
E01000117,0.135788895
E01000118,0.116735537
E01000119,0.089285714
E01000120,0.064494681
E01000121,0.249642346
E01000122,0.090909091
E01000123,0.159855769
E01000124,0.29611351
E01000125,0.356877323
E01000126,0.279370953
E01000127,0.335548173
E01000128,0.299090423
E01000129,0.441399417
E01000130,0.276980661
E01000131,0.254454343
E01000132,0.306495264
E01000133,0.316052467
E01000134,0.31372549
E01000135,0.176155392
E01000136,0.159618008
E01000137,0.423965937
E01000138,0.227743271
E01000139,0.255781359
E01000140,0.446450809
E01000141,0.495915425
E01000142,0.323170732
E01000143,0.450336072
E01000144,0.353706112
E01000145,0.236931432
E01000146,0.420408163
E01000147,0.132794457
E01000148,0.351453175
E01000150,0.204280156
E01000151,0.454704851
E01000152,0.362637363
E01000153,0.367293965
E01000154,0.375735294
E01000155,0.383510638
E01000156,0.248533333
E01000157,0.335496431
E01000158,0.234364261
E01000159,0.158131683
E01000160,0.192930781
E01000161,0.23630137
E01000162,0.158455393
E01000163,0.394311571
E01000164,0.340450771
E01000165,0.155209452
E01000166,0.12642225
E01000167,0.221117062
E01000168,0.069916613
